"","MAG","time_0","time_168","time_24","time_3","time_48","time_72","max_time","strategy_broad"
"170","H2-18-all-fractions_metab_36.Geodermatophilales_73_36",0,0.01,0.344,0.47986577181208,0.151515151515152,0.123134328358209,"3","Early Responders"
"171","H2-18-all-fractions_metab_63.Massilia_66_19",0,0.189473684210526,0.471428571428571,0.130434782608696,0.716049382716049,0.731707317073171,"72","Middle Responders"
"172","H2-18-all-fractions_metab_84.Actinobacteria_68_115",0,0.178571428571429,0.681818181818182,0.535714285714286,0.52,0.416666666666667,"24","Middle Responders"
"173","H3-16-all-fractions_conc_123.Niastella_koreensis_45_0",0,0.886363636363636,0.032258064516129,0.0454545454545455,0.111111111111111,0.294117647058824,"168","Late Responders"
"174","H3-16-all-fractions_metab_148.Actinobacteria_72_0",0,0,0.166666666666667,0.142857142857143,0.269230769230769,0.0833333333333333,"48","Middle Responders"
"175","H3-16-all-fractions_metab_25.Hyalangium_minutum_68_0",0,0.914438502673797,0.17016317016317,0.108695652173913,0.425619834710744,0.648148148148148,"168","Late Responders"
"176","H3-16-all-fractions_metab_conc_11.Cystobacter_violaceus_70_0",0,0.75749063670412,0.0565805658056581,0.035171102661597,0.308295964125561,0.620535714285714,"168","Late Responders"
"177","H3-16-all-fractions_metab_conc_118.Mycobacterium_smegmatis_66_0",0,-0.320987654320988,-0.0980392156862745,0.0641025641025641,-0.125,-0.339285714285714,"3","Early Responders"
"178","H3-16-all-fractions_metab_conc_126.Actinobacteria_70_0",0,-0.371428571428571,-0.7,-0.529411764705882,-0.636363636363636,-0.681818181818182,"0","Sensitive"
"179","H3-16-all-fractions_metab_conc_30.Propionibacteriales_71_0",0,-0.208333333333333,-0.1,0.166666666666667,-0.0869565217391304,-0.181818181818182,"3","Early Responders"
"180","H3-16-all-fractions_metab_conc_38.Bacteria_65_0",0,0.268292682926829,0.32,0.184210526315789,0.4,0.333333333333333,"48","Middle Responders"
"181","H3-16-all-fractions_metab_conc_83.Actinobacteria_70_0",0,0.0571428571428571,0.2,-0.0151515151515152,0.177777777777778,0.0434782608695652,"24","Middle Responders"
"182","H3-16-all-fractions_metab_conc_98.Alphaproteobacteria_63_0",0,-0.0310880829015544,0.0505050505050505,-0.205263157894737,-0.0222222222222222,-0.0869565217391304,"24","Middle Responders"
"183","H3-16-all-fractions_metab_maxbC_112.Burkholderiales_62_0",0,0.318181818181818,0.307692307692308,0,0.5,0.785714285714286,"72","Middle Responders"
"184","H3-18-all-fractions_metab_conc_100.Actinobacteria_71_31",0,0.17948717948718,0.111111111111111,0.105263157894737,0.24,0.230769230769231,"48","Middle Responders"
"185","H3-18-all-fractions_metab_conc_20.Propionibacteriales_70_14",0,-0.125,0.153846153846154,0.333333333333333,-0.0526315789473684,-0.0555555555555556,"3","Early Responders"
"186","H3-18-all-fractions_metab_conc_4.Bradyrhizobium_62_18",0,0.266666666666667,0.0555555555555556,0.1,0.388888888888889,0.444444444444444,"72","Middle Responders"
"187","H3-18-all-fractions_metab_conc_75.Burkholderiales_69_10",0,0.425925925925926,0.605263157894737,0.388888888888889,0.767441860465116,0.772727272727273,"72","Middle Responders"
